name,seat,charge,leavehour,departure,arrival,departure_datetime,arrival_datetime,check
이스타항공,일반석,119600,13,GMP,CJU,2023-07-21 13:40:00,2023-07-21 14:50:00,come
아시아나항공,특가석,54700,14,GMP,CJU,2023-07-21 14:00:00,2023-07-21 15:10:00,come
아시아나항공,할인석,72700,14,GMP,CJU,2023-07-21 14:00:00,2023-07-21 15:10:00,come
아시아나항공,일반석,132700,14,GMP,CJU,2023-07-21 14:00:00,2023-07-21 15:10:00,come
진에어,특가석,32100,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
진에어,할인석,42700,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
대한항공,특가석,50700,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
대한항공,할인석,67700,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
대한항공,할인석,83700,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
대한항공,일반석,106700,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
진에어,일반석,119700,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
대한항공,일반석,129700,14,GMP,CJU,2023-07-21 14:15:00,2023-07-21 15:25:00,come
아시아나항공,특가석,54700,14,GMP,CJU,2023-07-21 14:20:00,2023-07-21 15:30:00,come
아시아나항공,할인석,72700,14,GMP,CJU,2023-07-21 14:20:00,2023-07-21 15:30:00,come
아시아나항공,일반석,132700,14,GMP,CJU,2023-07-21 14:20:00,2023-07-21 15:30:00,come
티웨이항공,할인석,43010,14,GMP,CJU,2023-07-21 14:35:00,2023-07-21 15:45:00,come
티웨이항공,일반석,118700,14,GMP,CJU,2023-07-21 14:35:00,2023-07-21 15:45:00,come
제주항공,특가석,33600,14,GMP,CJU,2023-07-21 14:40:00,2023-07-21 15:50:00,come
제주항공,일반석,119200,14,GMP,CJU,2023-07-21 14:40:00,2023-07-21 15:50:00,come
아시아나항공,특가석,54700,14,GMP,CJU,2023-07-21 14:55:00,2023-07-21 16:05:00,come
아시아나항공,할인석,72700,14,GMP,CJU,2023-07-21 14:55:00,2023-07-21 16:05:00,come
아시아나항공,일반석,132700,14,GMP,CJU,2023-07-21 14:55:00,2023-07-21 16:05:00,come
진에어,특가석,34000,15,GMP,CJU,2023-07-21 15:00:00,2023-07-21 16:10:00,come
대한항공,일반석,106700,15,GMP,CJU,2023-07-21 15:00:00,2023-07-21 16:10:00,come
진에어,일반석,119700,15,GMP,CJU,2023-07-21 15:00:00,2023-07-21 16:10:00,come
에어부산,할인석,36020,15,GMP,CJU,2023-07-21 15:05:00,2023-07-21 16:15:00,come
아시아나항공,특가석,54700,15,GMP,CJU,2023-07-21 15:05:00,2023-07-21 16:15:00,come
아시아나항공,할인석,72700,15,GMP,CJU,2023-07-21 15:05:00,2023-07-21 16:15:00,come
에어부산,일반석,118700,15,GMP,CJU,2023-07-21 15:05:00,2023-07-21 16:15:00,come
아시아나항공,일반석,132700,15,GMP,CJU,2023-07-21 15:05:00,2023-07-21 16:15:00,come
제주항공,특가석,37600,15,GMP,CJU,2023-07-21 15:10:00,2023-07-21 16:20:00,come
대한항공,특가석,71700,15,GMP,CJU,2023-07-21 15:10:00,2023-07-21 16:20:00,come
대한항공,할인석,83700,15,GMP,CJU,2023-07-21 15:10:00,2023-07-21 16:20:00,come
제주항공,일반석,119200,15,GMP,CJU,2023-07-21 15:10:00,2023-07-21 16:20:00,come
대한항공,일반석,129700,15,GMP,CJU,2023-07-21 15:10:00,2023-07-21 16:20:00,come
티웨이항공,할인석,43010,15,GMP,CJU,2023-07-21 15:15:00,2023-07-21 16:25:00,come
티웨이항공,일반석,118700,15,GMP,CJU,2023-07-21 15:15:00,2023-07-21 16:25:00,come
제주항공,특가석,41600,15,GMP,CJU,2023-07-21 15:30:00,2023-07-21 16:40:00,come
제주항공,일반석,119200,15,GMP,CJU,2023-07-21 15:30:00,2023-07-21 16:40:00,come
대한항공,할인석,89700,15,GMP,CJU,2023-07-21 15:35:00,2023-07-21 16:45:00,come
대한항공,일반석,129700,15,GMP,CJU,2023-07-21 15:35:00,2023-07-21 16:45:00,come
이스타항공,할인석,32500,15,GMP,CJU,2023-07-21 15:40:00,2023-07-21 16:50:00,come
이스타항공,일반석,119600,15,GMP,CJU,2023-07-21 15:40:00,2023-07-21 16:50:00,come
제주항공,할인석,45600,15,GMP,CJU,2023-07-21 15:50:00,2023-07-21 17:05:00,come
제주항공,일반석,119200,15,GMP,CJU,2023-07-21 15:50:00,2023-07-21 17:05:00,come
이스타항공,할인석,35600,15,GMP,CJU,2023-07-21 15:55:00,2023-07-21 17:05:00,come
이스타항공,일반석,119600,15,GMP,CJU,2023-07-21 15:55:00,2023-07-21 17:05:00,come
아시아나항공,특가석,66700,16,GMP,CJU,2023-07-21 16:00:00,2023-07-21 17:10:00,come
아시아나항공,할인석,72700,16,GMP,CJU,2023-07-21 16:00:00,2023-07-21 17:10:00,come
아시아나항공,일반석,132700,16,GMP,CJU,2023-07-21 16:00:00,2023-07-21 17:10:00,come
대한항공,특가석,77700,16,GMP,CJU,2023-07-21 16:30:00,2023-07-21 17:40:00,come
대한항공,할인석,83700,16,GMP,CJU,2023-07-21 16:30:00,2023-07-21 17:40:00,come
대한항공,일반석,129700,16,GMP,CJU,2023-07-21 16:30:00,2023-07-21 17:40:00,come
이스타항공,할인석,39600,16,GMP,CJU,2023-07-21 16:35:00,2023-07-21 17:45:00,come
아시아나항공,특가석,66700,16,GMP,CJU,2023-07-21 16:35:00,2023-07-21 17:50:00,come
아시아나항공,할인석,72700,16,GMP,CJU,2023-07-21 16:35:00,2023-07-21 17:50:00,come
아시아나항공,특가석,42700,6,CJU,GMP,2023-07-21 06:30:00,2023-07-21 07:40:00,back
아시아나항공,할인석,62700,6,CJU,GMP,2023-07-21 06:30:00,2023-07-21 07:40:00,back
아시아나항공,일반석,112700,6,CJU,GMP,2023-07-21 06:30:00,2023-07-21 07:40:00,back
아시아나항공,특가석,42700,6,CJU,GMP,2023-07-21 06:40:00,2023-07-21 07:50:00,back
아시아나항공,할인석,62700,6,CJU,GMP,2023-07-21 06:40:00,2023-07-21 07:50:00,back
아시아나항공,일반석,112700,6,CJU,GMP,2023-07-21 06:40:00,2023-07-21 07:50:00,back
대한항공,특가석,45700,7,CJU,GMP,2023-07-21 07:00:00,2023-07-21 08:10:00,back
대한항공,할인석,69700,7,CJU,GMP,2023-07-21 07:00:00,2023-07-21 08:10:00,back
대한항공,일반석,107700,7,CJU,GMP,2023-07-21 07:00:00,2023-07-21 08:10:00,back
에어서울,할인석,35600,7,CJU,GMP,2023-07-21 07:35:00,2023-07-21 08:45:00,back
에어서울,일반석,81700,7,CJU,GMP,2023-07-21 07:35:00,2023-07-21 08:45:00,back
제주항공,할인석,45600,7,CJU,GMP,2023-07-21 07:40:00,2023-07-21 08:50:00,back
제주항공,일반석,97700,7,CJU,GMP,2023-07-21 07:40:00,2023-07-21 08:50:00,back
티웨이항공,할인석,36000,7,CJU,GMP,2023-07-21 07:55:00,2023-07-21 09:05:00,back
아시아나항공,특가석,42700,7,CJU,GMP,2023-07-21 07:55:00,2023-07-21 09:05:00,back
아시아나항공,할인석,62700,7,CJU,GMP,2023-07-21 07:55:00,2023-07-21 09:05:00,back
티웨이항공,일반석,97700,7,CJU,GMP,2023-07-21 07:55:00,2023-07-21 09:05:00,back
아시아나항공,일반석,112700,7,CJU,GMP,2023-07-21 07:55:00,2023-07-21 09:05:00,back
이스타항공,할인석,29000,8,CJU,GMP,2023-07-21 08:10:00,2023-07-21 09:15:00,back
이스타항공,일반석,97600,8,CJU,GMP,2023-07-21 08:10:00,2023-07-21 09:15:00,back
진에어,특가석,28200,8,CJU,GMP,2023-07-21 08:15:00,2023-07-21 09:30:00,back
진에어,할인석,43700,8,CJU,GMP,2023-07-21 08:15:00,2023-07-21 09:30:00,back
진에어,일반석,92700,8,CJU,GMP,2023-07-21 08:15:00,2023-07-21 09:30:00,back
이스타항공,할인석,35600,8,CJU,GMP,2023-07-21 08:30:00,2023-07-21 09:40:00,back
이스타항공,일반석,97600,8,CJU,GMP,2023-07-21 08:30:00,2023-07-21 09:40:00,back
에어부산,할인석,35100,8,CJU,GMP,2023-07-21 08:40:00,2023-07-21 10:00:00,back
대한항공,특가석,60700,8,CJU,GMP,2023-07-21 08:40:00,2023-07-21 09:50:00,back
대한항공,할인석,69700,8,CJU,GMP,2023-07-21 08:40:00,2023-07-21 09:50:00,back
에어부산,일반석,92700,8,CJU,GMP,2023-07-21 08:40:00,2023-07-21 10:00:00,back
대한항공,일반석,107700,8,CJU,GMP,2023-07-21 08:40:00,2023-07-21 09:50:00,back
티웨이항공,할인석,29500,8,CJU,GMP,2023-07-21 08:45:00,2023-07-21 09:55:00,back
제주항공,특가석,37600,8,CJU,GMP,2023-07-21 08:45:00,2023-07-21 09:55:00,back
티웨이항공,일반석,97700,8,CJU,GMP,2023-07-21 08:45:00,2023-07-21 09:55:00,back
제주항공,일반석,97700,8,CJU,GMP,2023-07-21 08:45:00,2023-07-21 09:55:00,back
이스타항공,할인석,54600,8,CJU,GMP,2023-07-21 08:50:00,2023-07-21 10:00:00,back
이스타항공,일반석,97600,8,CJU,GMP,2023-07-21 08:50:00,2023-07-21 10:00:00,back
대한항공,특가석,45700,9,CJU,GMP,2023-07-21 09:10:00,2023-07-21 10:20:00,back
대한항공,할인석,69700,9,CJU,GMP,2023-07-21 09:10:00,2023-07-21 10:20:00,back
대한항공,일반석,107700,9,CJU,GMP,2023-07-21 09:10:00,2023-07-21 10:20:00,back
진에어,특가석,32600,9,CJU,GMP,2023-07-21 09:15:00,2023-07-21 10:25:00,back
에어부산,할인석,35100,9,CJU,GMP,2023-07-21 09:15:00,2023-07-21 10:25:00,back
진에어,할인석,39800,9,CJU,GMP,2023-07-21 09:15:00,2023-07-21 10:25:00,back
진에어,일반석,92700,9,CJU,GMP,2023-07-21 09:15:00,2023-07-21 10:25:00,back
에어부산,일반석,92700,9,CJU,GMP,2023-07-21 09:15:00,2023-07-21 10:25:00,back
아시아나항공,특가석,57700,9,CJU,GMP,2023-07-21 09:20:00,2023-07-21 10:30:00,back
아시아나항공,할인석,62700,9,CJU,GMP,2023-07-21 09:20:00,2023-07-21 10:30:00,back
아시아나항공,일반석,112700,9,CJU,GMP,2023-07-21 09:20:00,2023-07-21 10:30:00,back
대한항공,특가석,50700,9,CJU,GMP,2023-07-21 09:35:00,2023-07-21 10:45:00,back
대한항공,할인석,69700,9,CJU,GMP,2023-07-21 09:35:00,2023-07-21 10:45:00,back
대한항공,일반석,107700,9,CJU,GMP,2023-07-21 09:35:00,2023-07-21 10:45:00,back
제주항공,할인석,58600,9,CJU,GMP,2023-07-21 09:45:00,2023-07-21 10:55:00,back
제주항공,일반석,97700,9,CJU,GMP,2023-07-21 09:45:00,2023-07-21 10:55:00,back
